1:0 = Stone =  Stone (#0001)
19397:0 = Facade: Oak Wood Planks =  Facade: Oak Wood Planks (#19397/0)
19397:0 = Facade: Spruce Wood Planks =  Facade: Spruce Wood Planks (#19397/0)
19397:0 = Facade: Birch Wood Planks =  Facade: Birch Wood Planks (#19397/0)
19397:0 = Facade: Jungle Wood Planks =  Facade: Jungle Wood Planks (#19397/0)
19397:0 = Facade: Sand =  Facade: Sand (#19397/0)
19397:0 = Facade: Gravel =  Facade: Gravel (#19397/0)
19397:0 = Facade: Gold Ore =  Facade: Gold Ore (#19397/0)
19397:0 = Facade: Iron Ore =  Facade: Iron Ore (#19397/0)
19397:0 = Facade: Coal Ore =  Facade: Coal Ore (#19397/0)
19397:0 = Facade: Oak Wood =  Facade: Oak Wood (#19397/0)
19397:0 = Facade: Oak Wood =  Facade: Oak Wood (#19397/0)
19397:0 = Facade: Oak Wood =  Facade: Oak Wood (#19397/0)
19397:0 = Facade: Spruce Wood =  Facade: Spruce Wood (#19397/0)
19397:0 = Facade: Spruce Wood =  Facade: Spruce Wood (#19397/0)
19397:0 = Facade: Spruce Wood =  Facade: Spruce Wood (#19397/0)
19397:0 = Facade: Birch Wood =  Facade: Birch Wood (#19397/0)
19397:0 = Facade: Birch Wood =  Facade: Birch Wood (#19397/0)
19397:0 = Facade: Birch Wood =  Facade: Birch Wood (#19397/0)
19397:0 = Facade: Jungle Wood =  Facade: Jungle Wood (#19397/0)
19397:0 = Facade: Jungle Wood =  Facade: Jungle Wood (#19397/0)
19397:0 = Facade: Jungle Wood =  Facade: Jungle Wood (#19397/0)
19397:0 = Facade: Glass =  Facade: Glass (#19397/0)
19397:0 = Facade: Lapis Lazuli Ore =  Facade: Lapis Lazuli Ore (#19397/0)
19397:0 = Facade: Lapis Lazuli Block =  Facade: Lapis Lazuli Block (#19397/0)
19397:0 = Facade: Sandstone =  Facade: Sandstone (#19397/0)
19397:0 = Facade: Chiseled Sandstone =  Facade: Chiseled Sandstone (#19397/0)
19397:0 = Facade: Smooth Sandstone =  Facade: Smooth Sandstone (#19397/0)
19397:0 = Facade: Wool =  Facade: Wool (#19397/0)
19397:0 = Facade: Orange Wool =  Facade: Orange Wool (#19397/0)
19397:0 = Facade: Magenta Wool =  Facade: Magenta Wool (#19397/0)
19397:0 = Facade: Light Blue Wool =  Facade: Light Blue Wool (#19397/0)
19397:0 = Facade: Yellow Wool =  Facade: Yellow Wool (#19397/0)
19397:0 = Facade: Lime Wool =  Facade: Lime Wool (#19397/0)
19397:0 = Facade: Pink Wool =  Facade: Pink Wool (#19397/0)
19397:0 = Facade: Gray Wool =  Facade: Gray Wool (#19397/0)
19397:0 = Facade: Light Gray Wool =  Facade: Light Gray Wool (#19397/0)
19397:0 = Facade: Cyan Wool =  Facade: Cyan Wool (#19397/0)
19397:0 = Facade: Purple Wool =  Facade: Purple Wool (#19397/0)
19397:0 = Facade: Blue Wool =  Facade: Blue Wool (#19397/0)
19397:0 = Facade: Brown Wool =  Facade: Brown Wool (#19397/0)
19397:0 = Facade: Green Wool =  Facade: Green Wool (#19397/0)
19397:0 = Facade: Red Wool =  Facade: Red Wool (#19397/0)
19397:0 = Facade: Black Wool =  Facade: Black Wool (#19397/0)
19397:0 = Facade: Block of Gold =  Facade: Block of Gold (#19397/0)
19397:0 = Facade: Block of Iron =  Facade: Block of Iron (#19397/0)
19397:0 = Facade: Stone Slab =  Facade: Stone Slab (#19397/0)
19397:0 = Facade: Sandstone Slab =  Facade: Sandstone Slab (#19397/0)
19397:0 = Facade: Wooden Slab =  Facade: Wooden Slab (#19397/0)
19397:0 = Facade: Cobblestone Slab =  Facade: Cobblestone Slab (#19397/0)
19397:0 = Facade: Bricks Slab =  Facade: Bricks Slab (#19397/0)
19397:0 = Facade: Stone Bricks Slab =  Facade: Stone Bricks Slab (#19397/0)
19397:0 = Facade: Nether Brick Slab =  Facade: Nether Brick Slab (#19397/0)
19397:0 = Facade: Quartz Slab =  Facade: Quartz Slab (#19397/0)
19397:0 = Facade: Bricks =  Facade: Bricks (#19397/0)
19397:0 = Facade: TNT =  Facade: TNT (#19397/0)
19397:0 = Facade: Bookshelf =  Facade: Bookshelf (#19397/0)
19397:0 = Facade: Moss Stone =  Facade: Moss Stone (#19397/0)
19397:0 = Facade: Obsidian =  Facade: Obsidian (#19397/0)
19397:0 = Facade: Diamond Ore =  Facade: Diamond Ore (#19397/0)
19397:0 = Facade: Block of Diamond =  Facade: Block of Diamond (#19397/0)
19397:0 = Facade: Crafting Table =  Facade: Crafting Table (#19397/0)
19397:0 = Facade: Redstone Ore =  Facade: Redstone Ore (#19397/0)
19397:0 = Facade: Redstone Ore =  Facade: Redstone Ore (#19397/0)
19397:0 = Facade: Snow =  Facade: Snow (#19397/0)
19397:0 = Facade: Clay =  Facade: Clay (#19397/0)
19397:0 = Facade: Pumpkin =  Facade: Pumpkin (#19397/0)
19397:0 = Facade: Netherrack =  Facade: Netherrack (#19397/0)
19397:0 = Facade: Soul Sand =  Facade: Soul Sand (#19397/0)
19397:0 = Facade: Glowstone =  Facade: Glowstone (#19397/0)
19397:0 = Facade: Jack 'o' Lantern =  Facade: Jack 'o' Lantern (#19397/0)
19397:0 = Facade: Stone Monster Egg =  Facade: Stone Monster Egg (#19397/0)
19397:0 = Facade: Cobblestone Monster Egg =  Facade: Cobblestone Monster Egg (#19397/0)
19397:0 = Facade: Stone Brick Monster Egg =  Facade: Stone Brick Monster Egg (#19397/0)
19397:0 = Facade: Stone Bricks =  Facade: Stone Bricks (#19397/0)
19397:0 = Facade: Mossy Stone Bricks =  Facade: Mossy Stone Bricks (#19397/0)
19397:0 = Facade: Cracked Stone Bricks =  Facade: Cracked Stone Bricks (#19397/0)
19397:0 = Facade: Chiseled Stone Bricks =  Facade: Chiseled Stone Bricks (#19397/0)
19397:0 = Facade: Mushroom =  Facade: Mushroom (#19397/0)
19397:0 = Facade: Mushroom =  Facade: Mushroom (#19397/0)
19397:0 = Facade: Melon =  Facade: Melon (#19397/0)
19397:0 = Facade: Mycelium =  Facade: Mycelium (#19397/0)
19397:0 = Facade: Nether Brick =  Facade: Nether Brick (#19397/0)
19397:0 = Facade: End Stone =  Facade: End Stone (#19397/0)
19397:0 = Facade: Redstone Lamp =  Facade: Redstone Lamp (#19397/0)
19397:0 = Facade: Redstone Lamp =  Facade: Redstone Lamp (#19397/0)
19397:0 = Facade: Oak Wood Slab =  Facade: Oak Wood Slab (#19397/0)
19397:0 = Facade: Spruce Wood Slab =  Facade: Spruce Wood Slab (#19397/0)
19397:0 = Facade: Birch Wood Slab =  Facade: Birch Wood Slab (#19397/0)
19397:0 = Facade: Jungle Wood Slab =  Facade: Jungle Wood Slab (#19397/0)
19397:0 = Facade: Emerald Ore =  Facade: Emerald Ore (#19397/0)
19397:0 = Facade: Block of Emerald =  Facade: Block of Emerald (#19397/0)
19397:0 = Facade: Block of Redstone =  Facade: Block of Redstone (#19397/0)
19397:0 = Facade: Nether Quartz Ore =  Facade: Nether Quartz Ore (#19397/0)
19397:0 = Facade: Block of Quartz =  Facade: Block of Quartz (#19397/0)
19397:0 = Facade: Chiseled Quartz Block =  Facade: Chiseled Quartz Block (#19397/0)
19397:0 = Facade: Pillar Quartz Block =  Facade: Pillar Quartz Block (#19397/0)
19397:0 = Facade: Ice Bricks =  Facade: Ice Bricks (#19397/0)
19397:0 = Facade: Glowstone Bricks =  Facade: Glowstone Bricks (#19397/0)
19397:0 = Facade: Lapis Bricks =  Facade: Lapis Bricks (#19397/0)
19397:0 = Facade: Obsidian Bricks =  Facade: Obsidian Bricks (#19397/0)
19397:0 = Facade: Paved Stone Bricks =  Facade: Paved Stone Bricks (#19397/0)
19397:0 = Facade: Snow Bricks =  Facade: Snow Bricks (#19397/0)
19397:0 = Facade: Large Glowstone Bricks =  Facade: Large Glowstone Bricks (#19397/0)
19397:0 = Facade: Large Ice Bricks =  Facade: Large Ice Bricks (#19397/0)
19397:0 = Facade: Large Lapis Bricks =  Facade: Large Lapis Bricks (#19397/0)
19397:0 = Facade: Large Obsidian Bricks =  Facade: Large Obsidian Bricks (#19397/0)
19397:0 = Facade: Large Snow Bricks =  Facade: Large Snow Bricks (#19397/0)
19397:0 = Facade: Programmable RedNet Controller Housing =  Facade: Programmable RedNet Controller Housing (#19397/0)
19397:0 = Facade: Raw Meat Block =  Facade: Raw Meat Block (#19397/0)
19397:0 = Facade: Cooked Meat Block =  Facade: Cooked Meat Block (#19397/0)
19397:0 = Facade: Smooth Blackstone =  Facade: Smooth Blackstone (#19397/0)
19397:0 = Facade: Smooth Whitestone =  Facade: Smooth Whitestone (#19397/0)
19397:0 = Facade: Cobble Blackstone =  Facade: Cobble Blackstone (#19397/0)
19397:0 = Facade: Cobble Whitestone =  Facade: Cobble Whitestone (#19397/0)
19397:0 = Facade: Large Blackstone Bricks =  Facade: Large Blackstone Bricks (#19397/0)
19397:0 = Facade: Large Whitestone Bricks =  Facade: Large Whitestone Bricks (#19397/0)
19397:0 = Facade: Small Blackstone Bricks =  Facade: Small Blackstone Bricks (#19397/0)
19397:0 = Facade: Small Whitestone Bricks =  Facade: Small Whitestone Bricks (#19397/0)
19397:0 = Facade: Blackstone Gravel =  Facade: Blackstone Gravel (#19397/0)
19397:0 = Facade: Whitestone Gravel =  Facade: Whitestone Gravel (#19397/0)
19397:0 = Facade: Paved Blackstone =  Facade: Paved Blackstone (#19397/0)
19397:0 = Facade: Paved Whitestone =  Facade: Paved Whitestone (#19397/0)
19397:0 = Facade: Road =  Facade: Road (#19397/0)
19397:0 = Facade: Road Light =  Facade: Road Light (#19397/0)
19397:0 = Facade: Road Light (Inverted) =  Facade: Road Light (Inverted) (#19397/0)
19397:0 = Facade: Certus Quartz Block =  Facade: Certus Quartz Block (#19397/0)
19397:0 = Facade: Black Force Brick =  Facade: Black Force Brick (#19397/0)
19397:0 = Facade: Red Force Brick =  Facade: Red Force Brick (#19397/0)
19397:0 = Facade: Green Force Brick =  Facade: Green Force Brick (#19397/0)
19397:0 = Facade: Brown Force Brick =  Facade: Brown Force Brick (#19397/0)
19397:0 = Facade: Blue Force Brick =  Facade: Blue Force Brick (#19397/0)
19397:0 = Facade: Purple Force Brick =  Facade: Purple Force Brick (#19397/0)
19397:0 = Facade: Cyan Force Brick =  Facade: Cyan Force Brick (#19397/0)
19397:0 = Facade: Light Gray Force Brick =  Facade: Light Gray Force Brick (#19397/0)
19397:0 = Facade: Gray Force Brick =  Facade: Gray Force Brick (#19397/0)
19397:0 = Facade: Pink Force Brick =  Facade: Pink Force Brick (#19397/0)
19397:0 = Facade: Lime Force Brick =  Facade: Lime Force Brick (#19397/0)
19397:0 = Facade: Yellow Force Brick =  Facade: Yellow Force Brick (#19397/0)
19397:0 = Facade: Light Blue Force Brick =  Facade: Light Blue Force Brick (#19397/0)
19397:0 = Facade: Magenta Force Brick =  Facade: Magenta Force Brick (#19397/0)
19397:0 = Facade: Orange Force Brick =  Facade: Orange Force Brick (#19397/0)
19397:0 = Facade: White Force Brick =  Facade: White Force Brick (#19397/0)
19397:0 = Facade: Force Log =  Facade: Force Log (#19397/0)
19397:0 = Facade: Force Log =  Facade: Force Log (#19397/0)
19397:0 = Facade: Force Log =  Facade: Force Log (#19397/0)
19397:0 = Facade: Force Planks =  Facade: Force Planks (#19397/0)
19397:0 = Facade: Force Planks =  Facade: Force Planks (#19397/0)
19397:0 = Facade: Force Planks =  Facade: Force Planks (#19397/0)
19398:0 = Pipe Plug =  Pipe Plug (#19398)
19416:0 = Wooden Transport Pipe =  Wooden Transport Pipe (#19416)
19417:0 = Cobblestone Transport Pipe =  Cobblestone Transport Pipe (#19417)
19418:0 = Stone Transport Pipe =  Stone Transport Pipe (#19418)
19419:0 = Iron Transport Pipe =  Iron Transport Pipe (#19419)
19420:0 = Golden Transport Pipe =  Golden Transport Pipe (#19420)
19421:0 = Diamond Transport Pipe =  Diamond Transport Pipe (#19421)
19422:0 = Obsidian Transport Pipe =  Obsidian Transport Pipe (#19422)
19423:0 = Emerald Transport Pipe =  Emerald Transport Pipe (#19423)
19424:0 = Quartz Transport Pipe =  Quartz Transport Pipe (#19424)
19436:0 = Wooden Waterproof Pipe =  Wooden Waterproof Pipe (#19436)
19437:0 = Cobblestone Waterproof Pipe =  Cobblestone Waterproof Pipe (#19437)
19438:0 = Stone Waterproof Pipe =  Stone Waterproof Pipe (#19438)
19439:0 = Iron Waterproof Pipe =  Iron Waterproof Pipe (#19439)
19440:0 = Golden Waterproof Pipe =  Golden Waterproof Pipe (#19440)
19443:0 = Emerald Waterproof Pipe =  Emerald Waterproof Pipe (#19443)
19456:0 = Wooden Conductive Pipe =  Wooden Conductive Pipe (#19456) 32 MJ/t
19457:0 = Cobblestone Conductive Pipe =  Cobblestone Conductive Pipe (#19457) 8 MJ/t
19458:0 = Stone Conductive Pipe =  Stone Conductive Pipe (#19458) 16 MJ/t
19460:0 = Golden Conductive Pipe =  Golden Conductive Pipe (#19460) 256 MJ/t
19461:0 = Diamond Conductive Pipe =  Diamond Conductive Pipe (#19461) 1024 MJ/t
19464:0 = Quartz Conductive Pipe =  Quartz Conductive Pipe (#19464) 64 MJ/t
19476:0 = Void Transport Pipe =  Void Transport Pipe (#19476)
19477:0 = Void Waterproof Pipe =  Void Waterproof Pipe (#19477)
19478:0 = Sandstone Transport Pipe =  Sandstone Transport Pipe (#19478)
19479:0 = Sandstone Waterproof Pipe =  Sandstone Waterproof Pipe (#19479)
19480:0 = Cobblestone Structure Pipe =  Cobblestone Structure Pipe (#19480)
19757:0 = Iron to Gold Chest Upgrade =  Iron to Gold Chest Upgrade (#19757)
19758:0 = Gold to Diamond Chest Upgrade =  Gold to Diamond Chest Upgrade (#19758)
19759:0 = Copper to Silver Chest Upgrade =  Copper to Silver Chest Upgrade (#19759)
19760:0 = Silver to Gold Chest Upgrade =  Silver to Gold Chest Upgrade (#19760)
19761:0 = Copper to Iron Chest Upgrade =  Copper to Iron Chest Upgrade (#19761)
19762:0 = Diamond to Crystal Chest Upgrade =  Diamond to Crystal Chest Upgrade (#19762)
19763:0 = Normal chest to Iron Chest Upgrade =  Normal chest to Iron Chest Upgrade (#19763)
19764:0 = Normal chest to Copper Chest Upgrade =  Normal chest to Copper Chest Upgrade (#19764)
19765:0 = Diamond to Obsidian Chest Upgrade =  Diamond to Obsidian Chest Upgrade (#19765)
19807:0 = LV Solar Hat =  LV Solar Hat (#19807)
19808:0 = MV Solar Hat =  MV Solar Hat (#19808)
19809:0 = HV Solar Hat =  HV Solar Hat (#19809)
20256:0 = Automatic Wooden Pipe =  Automatic Wooden Pipe (#20256)
20257:0 = Crescent Hammer =  Crescent Hammer (#20257/0)
20258:0 = Multimeter =  Multimeter (#20258/0)
20260:0 = Invar Helmet =  Invar Helmet (#20260)
20261:0 = Invar Chestplate =  Invar Chestplate (#20261)
20262:0 = Invar Leggings =  Invar Leggings (#20262)
20263:0 = Invar Boots =  Invar Boots (#20263)
20264:0 = Destabilized Redstone Bucket =  Destabilized Redstone Bucket (#20264/0)
20264:1 = Energized Glowstone Bucket =  Energized Glowstone Bucket (#20264/1)
20264:2 = Resonant Ender Bucket =  Resonant Ender Bucket (#20264/2)
20265:0 = Schematic =  Schematic (#20265/0) -Blank-
20266:32 = Machine Frame =  Machine Frame (#20266/32)
20266:64 = Energy Cell Frame (Empty) =  Energy Cell Frame (Empty) (#20266/64)
20266:65 = Energy Cell Frame (Full) =  Energy Cell Frame (Full) (#20266/65)
20266:96 = Energy Conduit (Empty) =  Energy Conduit (Empty) (#20266/96)
20266:128 = Tesseract Frame =  Tesseract Frame (#20266/128)
20266:129 = Unattuned Tesseract =  Unattuned Tesseract (#20266/129)
20266:160 = Illuminator Frame =  Illuminator Frame (#20266/160)
20267:0 = Pulverized Iron =  Pulverized Iron (#20267/0)
20267:1 = Pulverized Gold =  Pulverized Gold (#20267/1)
20267:3 = Pulverized Obsidian =  Pulverized Obsidian (#20267/3)
20267:32 = Pulverized Copper =  Pulverized Copper (#20267/32)
20267:33 = Pulverized Tin =  Pulverized Tin (#20267/33)
20267:34 = Pulverized Silver =  Pulverized Silver (#20267/34)
20267:35 = Pulverized Lead =  Pulverized Lead (#20267/35)
20267:40 = Pulverized Ferrous Metal =  Pulverized Ferrous Metal (#20267/40)
20267:41 = Pulverized Shiny Metal =  Pulverized Shiny Metal (#20267/41)
20267:38 = Electrum Blend =  Electrum Blend (#20267/38)
20267:39 = Invar Blend =  Invar Blend (#20267/39)
20267:36 = Bronze Blend =  Bronze Blend (#20267/36)
20267:37 = Brass Blend =  Brass Blend (#20267/37)
20267:64 = Copper Ingot =  Copper Ingot (#20267/64)
20267:65 = Tin Ingot =  Tin Ingot (#20267/65)
20267:66 = Silver Ingot =  Silver Ingot (#20267/66)
20267:67 = Lead Ingot =  Lead Ingot (#20267/67)
20267:68 = Ferrous Ingot =  Ferrous Ingot (#20267/68)
20267:69 = Shiny Ingot =  Shiny Ingot (#20267/69)
20267:70 = Electrum Ingot =  Electrum Ingot (#20267/70)
20267:71 = Invar Ingot =  Invar Ingot (#20267/71)
20267:80 = Copper Nugget =  Copper Nugget (#20267/80)
20267:81 = Tin Nugget =  Tin Nugget (#20267/81)
20267:82 = Silver Nugget =  Silver Nugget (#20267/82)
20267:83 = Lead Nugget =  Lead Nugget (#20267/83)
20267:84 = Ferrous Nugget =  Ferrous Nugget (#20267/84)
20267:85 = Shiny Nugget =  Shiny Nugget (#20267/85)
20267:86 = Electrum Nugget =  Electrum Nugget (#20267/86)
20267:87 = Invar Nugget =  Invar Nugget (#20267/87)
20267:96 = Sulfur =  Sulfur (#20267/96)
20267:97 = Niter =  Niter (#20267/97)
20267:128 = Wood Chips =  Wood Chips (#20267/128)
20267:129 = Sawdust =  Sawdust (#20267/129)
20267:130 = Compressed Sawdust =  Compressed Sawdust (#20267/130)
20267:131 = Slag =  Slag (#20267/131)
20267:132 = Rich Slag =  Rich Slag (#20267/132)
20267:160 = Pneumatic Servo =  Pneumatic Servo (#20267/160)
20267:161 = Redstone Reception Coil =  Redstone Reception Coil (#20267/161)
20267:162 = Redstone Transmission Coil =  Redstone Transmission Coil (#20267/162)
20267:163 = Redstone Conductance Coil =  Redstone Conductance Coil (#20267/163)
20267:164 = Copper Gear =  Copper Gear (#20267/164)
20267:165 = Tin Gear =  Tin Gear (#20267/165)
20267:166 = Invar Gear =  Invar Gear (#20267/166)
20268:0 = Insertion Transport Pipe =  Insertion Transport Pipe (#20268)
20269:0 = Redstone Transport Pipe =  Redstone Transport Pipe (#20269)
21406:0 = Wand of the Tinkerer =  Wand of the Tinkerer (#21406)
21407:0 = Gaseous Glowstone =  Gaseous Glowstone (#21407)
21408:0 = Spellbinding Cloth =  Spellbinding Cloth (#21408)
21409:0 = Stopwatch of the Timetwister =  Stopwatch of the Timetwister (#21409)
21410:0 = Wand of Dislocation =  Wand of Dislocation (#21410)
21411:0 = Golem Name Tag =  Golem Name Tag (#21411) Blank
21412:0 = Talisman of Withhold =  Talisman of Withhold (#21412) XP: 0 Â§cNot Absorbing
21413:0 = Infernal Bracelet =  Infernal Bracelet (#21413)
21414:0 = Smokey Quartz =  Smokey Quartz (#21414)
21415:0 = Sigil of Memories =  Sigil of Memories (#21415/0)
21416:0 = Wand of Uprising =  Wand of Uprising (#21416)
21417:0 = Sword of the Condor =  Sword of the Condor (#21417)
21418:0 = Rune Thanatos =  Rune Thanatos (#21418)
21419:0 = Silk Cutter =  Silk Cutter (#21419) Silk Touch I
21420:0 = Fortunate Maul =  Fortunate Maul (#21420) Fortune III
21421:0 = Ender Mirror =  Ender Mirror (#21421)
21422:0 = Goliath's Leggings =  Goliath's Leggings (#21422)
21423:0 = Gaseous Tenebrae =  Gaseous Tenebrae (#21423)
21424:0 = Fume Dissipator =  Fume Dissipator (#21424)
21425:0 = Fluxometer =  Fluxometer (#21425)
21426:0 = Talisman of Remedium =  Talisman of Remedium (#21426) Â§cInactive
21428:0 = Tome of Knowledge Sharing =  Tome of Knowledge Sharing (#21428) [Not Assigned] Press SHIFT for more info.
21429:0 = Hyperenergetic Nitor =  Hyperenergetic Nitor (#21429)
21430:0 = Rune Aura =  Rune Aura (#21430/0) Air, Wind, Breath, Movement Not Yet Implemented!
21430:6 = Rune Ignis =  Rune Ignis (#21430/6) Fire, Heat, Burn, Light Not Yet Implemented!
21430:11 = Rune Saxum =  Rune Saxum (#21430/11) Earth, Stone, Ground, Foundation Not Yet Implemented!
21430:21 = Rune Aqua =  Rune Aqua (#21430/21) Water, Fluid, Cold Not Yet Implemented!
21430:36 = Rune Herba =  Rune Herba (#21430/36) Herb, Plant, Grass Not Yet Implemented!
21430:53 = Rune Bestia =  Rune Bestia (#21430/53) Animal, Beast Not Yet Implemented!
21430:54 = Rune Corpus =  Rune Corpus (#21430/54) Body, Flesh, Physique Not Yet Implemented!
21430:12 = Rune Metallum =  Rune Metallum (#21430/12) Metal, Mine, Ore Not Yet Implemented!
21430:20 = Rune Vitreus =  Rune Vitreus (#21430/20) Glass, Crystal, Gem, Transparent Not Yet Implemented!
21430:24 = Rune Sonus =  Rune Sonus (#21430/24) Sound, Noise, Din Not Yet Implemented!
21430:14 = Rune Permutatio =  Rune Permutatio (#21430/14) Exchange, Change, Barter Not Yet Implemented!
21430:26 = Rune Victus =  Rune Victus (#21430/26) Life force, Food, Sustenance Not Yet Implemented!
21430:27 = Rune Mortuus =  Rune Mortuus (#21430/27) Death, Decay, Undead Not Yet Implemented!
21430:30 = Rune Animus =  Rune Animus (#21430/30) Soul, Spirit Not Yet Implemented!
21430:2 = Rune Vacuos =  Rune Vacuos (#21430/2) Empty, Void, Insubstantial Not Yet Implemented!
21430:3 = Rune Visum =  Rune Visum (#21430/3) Sight, Vision, Appearance Not Yet Implemented!
21430:4 = Rune Cognitio =  Rune Cognitio (#21430/4) Learning, Knowledge, Inquiry Not Yet Implemented!
21430:7 = Rune Fractus =  Rune Fractus (#21430/7) Destruction, Fragmented, Shattered Not Yet Implemented!
21430:9 = Rune Potentia =  Rune Potentia (#21430/9) Power, Energy, Strength Not Yet Implemented!
21430:10 = Rune Machina =  Rune Machina (#21430/10) Mechanism, Machine, Device Not Yet Implemented!
21430:17 = Rune Tutamen =  Rune Tutamen (#21430/17) Defense, Protection, Security Not Yet Implemented!
21430:18 = Rune Telum =  Rune Telum (#21430/18) Arrow, Sword, Weapon Not Yet Implemented!
21430:19 = Rune Instrumentum =  Rune Instrumentum (#21430/19) Instrument, Tool, Implement Not Yet Implemented!
21430:29 = Rune Venenum =  Rune Venenum (#21430/29) Poison, Drug, Impure Not Yet Implemented!
21430:31 = Rune Carus =  Rune Carus (#21430/31) Expensive, Precious, Valuable Not Yet Implemented!
21430:37 = Rune Purus =  Rune Purus (#21430/37) Pure, Clean, Stainless Not Yet Implemented!
21430:40 = Rune Praecantatio =  Rune Praecantatio (#21430/40) Magic, Sorcery Not Yet Implemented!
21430:41 = Rune Tempus =  Rune Tempus (#21430/41) Time, Moment, Season Not Yet Implemented!
21430:48 = Rune Imperito =  Rune Imperito (#21430/48) Control, Command, Dominate Not Yet Implemented!
21430:49 = Rune Tenebris =  Rune Tenebris (#21430/49) Dark, Night, Blindness Not Yet Implemented!
21430:50 = Rune Fabrico =  Rune Fabrico (#21430/50) Create, Construct, Work Not Yet Implemented!
21430:56 = Rune Malum =  Rune Malum (#21430/56) Evil, The Nether, Malice Not Yet Implemented!
21430:57 = Rune Mutatio =  Rune Mutatio (#21430/57) Flux, Chaos Not Yet Implemented!
21430:58 = Rune Alienis =  Rune Alienis (#21430/58) Eldritch, The End, Strange, Alien Not Yet Implemented!
21430:28 = Rune Vinculum =  Rune Vinculum (#21430/28) Bind, Imprison, Trap Not Yet Implemented!
21430:55 = Rune Bestiola =  Rune Bestiola (#21430/55) Spider, Web, Insects Not Yet Implemented!
21430:1 = Rune Motus =  Rune Motus (#21430/1) Motion, Movement, Speed Not Yet Implemented!
21430:5 = Rune Volito =  Rune Volito (#21430/5) Flight, Leap Not Yet Implemented!
21430:8 = Rune Lux =  Rune Lux (#21430/8) Light, Brightness, Day Not Yet Implemented!
21430:15 = Rune Pannus =  Rune Pannus (#21430/15) Cloth, Fabric, Garment, Thread Not Yet Implemented!
21430:16 = Rune Solum =  Rune Solum (#21430/16) Earth, Soil, Ground, Foundation Not Yet Implemented!
21430:22 = Rune Aer =  Rune Aer (#21430/22) Weather, Mist, Climate Not Yet Implemented!
21430:23 = Rune Gelum =  Rune Gelum (#21430/23) Cold, Ice, Frost Not Yet Implemented!
21430:25 = Rune Sano =  Rune Sano (#21430/25) Heal, Repair, Make Sound Not Yet Implemented!
21430:32 = Rune Lignum =  Rune Lignum (#21430/32) Wood, Forest, Tree Not Yet Implemented!
21430:33 = Rune Flos =  Rune Flos (#21430/33) Flower, Bloom, Blossom Not Yet Implemented!
21430:34 = Rune Fungus =  Rune Fungus (#21430/34) Mushroom, Toadstool, Fungi Not Yet Implemented!
21430:35 = Rune Messis =  Rune Messis (#21430/35) Crops, Harvest Not Yet Implemented!
21431:0 = Reaper's Scythe =  Reaper's Scythe (#21431)
21432:0 = Bottle of Rain Water =  Bottle of Rain Water (#21432)
21433:0 = Crystal of Sunlight =  Crystal of Sunlight (#21433/0)
21433:1 = Crystal of Rainfall =  Crystal of Rainfall (#21433/1)
21434:0 = Aphrodisiac Concoction =  Aphrodisiac Concoction (#21434)
21435:0 = Soul Mould =  Soul Mould (#21435) Â§6Current Pattern: Blank
21436:0 = Interface Binder =  Interface Binder (#21436)
21437:0 = Cryogenic Globe =  Cryogenic Globe (#21437)
21996:0 = Forge Lexicon =  Forge Lexicon (#21996)
21997:0 = Prototype OmniWrench =  Prototype OmniWrench (#21997)
22478:0 = Tape Measure =  Tape Measure (#22478)
22479:0 = Tape Measure Reel =  Tape Measure Reel (#22479)
22480:0 = Print Press Chase =  Print Press Chase (#22480)
22481:0 = Print Press Plate =  Print Press Plate (#22481) Not Valid
22482:0 = Redstone: Volume I =  Redstone: Volume I (#22482) by Magnotop
22483:0 = Reading Glasses =  Reading Glasses (#22483/0)
22483:1 = Tinted Glasses =  Tinted Glasses (#22483/1)
22483:2 = Monocle =  Monocle (#22483/2)
22484:0 = Enchanted Plate =  Enchanted Plate (#22484) No data
22752:0 = Energy Link Card (Blank) =  Energy Link Card (Blank) (#22752)
22755:0 = Charging Bench Toolkit =  Charging Bench Toolkit (#22755/0)
22755:1 = LV Charging Bench Components =  LV Charging Bench Components (#22755/1)
22755:2 = MV Charging Bench Components =  MV Charging Bench Components (#22755/2)
22755:3 = HV Charging Bench Components =  HV Charging Bench Components (#22755/3)
22997:0 = Drain Conversion Module =  Drain Conversion Module (#22997/0) Â§cRestricted:Â§r Emitter Slot Â§cModulation:Â§r Field
22997:1 = Damage Conversion Module =  Damage Conversion Module (#22997/1) Â§cRestricted:Â§r Emitter Slot Â§cModulation:Â§r Field
22997:2 = Armour Priority Module =  Armour Priority Module (#22997/2) Â§cRestricted:Â§r Emitter Slot Â§cModulation:Â§r Field
22997:3 = Proximity Booster Module =  Proximity Booster Module (#22997/3) Â§cRestricted:Â§r Emitter Slot Â§cModulation:Â§r Projector
22997:4 = Wide-Band Booster Module =  Wide-Band Booster Module (#22997/4) Â§cRestricted:Â§r Emitter Slot Â§cModulation:Â§r Projector
22997:5 = Field Expansion Module =  Field Expansion Module (#22997/5) Â§cRestricted:Â§r Emitter Slot Â§cModulation:Â§r Projector Â§fStrength:Â§7 Alpha
22997:6 = Field Expansion Module =  Field Expansion Module (#22997/6) Â§cRestricted:Â§r Emitter Slot Â§cModulation:Â§r Projector Â§fStrength:Â§b Delta
